#G	time_to_stabilize
#G_graz: 0.0578561
#starting from: -7.40865	-7.74415
0.18	149.652
#starting from: -7.31574	-8.11455
0.18	149.652
#starting from: -7.52264	-8.71485
0.18	149.652
#starting from: -8.98728	-8.98602
0.18	149.652
#starting from: -7.39065	-8.05886
0.18	149.652
#starting from: -7.75998	-8.42117
0.18	149.652
#starting from: -7.60109	-8.50976
0.18	149.652
#starting from: -7.69974	-8.50169
0.18	149.652
#starting from: -8.46323	-8.11638
0.18	149.652
#starting from: -7.71752	-7.02853
0.18	149.652
#starting from: -7.65405	-7.90415
0.18	149.652
#starting from: -7.01184	-8.68335
0.18	149.652
#starting from: -7.30529	-8.18171
0.18	149.652
#starting from: -7.405	-8.24328
0.18	149.652
#starting from: -7.7521	-7.6278
0.18	149.652
#starting from: -7.7865	-8.73022
0.18	149.652
#starting from: -7.77172	-8.62619
0.18	149.652
#starting from: -7.35019	-7.41219
0.18	149.652
#starting from: -7.62933	-7.48883
0.18	149.652
#starting from: -7.97399	-7.59108
0.18	149.652
#starting from: -8.12058	-7.30485
0.18	149.652
#starting from: -8.88189	-7.72741
0.18	149.652
#starting from: -7.64571	-7.92289
0.18	149.652
#starting from: -7.87887	-7.08256
0.18	149.652
#starting from: -7.02209	-7.72691
0.18	149.652
#starting from: -7.06249	-7.20204
0.18	149.652
#starting from: -7.04247	-7.24325
0.18	149.652
#starting from: -8.81053	-8.1738
0.18	149.652
#starting from: -7.17654	-7.7165
0.18	149.652
#starting from: -7.23461	-7.4287
0.18	149.652
#starting from: -8.88117	-7.8153
0.18	149.652
#starting from: -7.08939	-8.71625
0.18	149.652
#starting from: -7.12334	-7.0037
0.18	149.652
#starting from: -8.94725	-7.78252
0.18	149.652
#starting from: -7.77705	-8.52665
0.18	149.652
#starting from: -7.77265	-8.04022
0.18	149.652
#starting from: -7.65522	-7.38585
0.18	149.652
#starting from: -7.61929	-7.6461
0.18	149.652
#starting from: -8.23617	-7.99673
0.18	149.652
#starting from: -7.40987	-7.34802
0.18	149.652
#starting from: -7.09455	-8.83975
0.178	149.648
#starting from: -8.93441	-7.3547
0.178	149.648
#starting from: -7.54669	-8.43545
0.178	149.648
#starting from: -7.48478	-7.50796
0.178	149.648
#starting from: -8.96047	-7.94559
0.178	149.648
#starting from: -8.65187	-7.49626
0.178	149.648
#starting from: -8.7405	-7.09557
0.178	149.648
#starting from: -8.49454	-8.20237
0.178	149.648
#starting from: -8.18084	-8.34095
0.178	149.648
#starting from: -8.6165	-8.5918
0.178	149.648
#starting from: -7.36302	-7.35849
0.178	149.648
#starting from: -7.85551	-8.69909
0.178	149.648
#starting from: -7.04369	-8.39965
0.178	149.648
#starting from: -8.31917	-8.05308
0.178	149.648
#starting from: -7.97296	-7.07385
0.178	149.648
#starting from: -8.53812	-8.12002
0.178	149.648
#starting from: -7.2014	-7.95116
0.178	149.648
#starting from: -7.20453	-7.9966
0.178	149.648
#starting from: -7.21747	-7.00322
0.178	149.648
#starting from: -7.47132	-8.53857
0.178	149.648
#starting from: -7.4087	-8.44122
0.178	149.648
#starting from: -7.01959	-8.70969
0.178	149.648
#starting from: -7.86444	-8.24733
0.178	149.648
#starting from: -8.01303	-7.63606
0.178	149.648
#starting from: -8.95591	-8.89695
0.178	149.648
#starting from: -7.00317	-7.45588
0.178	149.648
#starting from: -7.01869	-8.85988
0.178	149.648
#starting from: -7.33717	-8.99979
0.178	149.648
#starting from: -7.33349	-8.50016
0.178	149.648
#starting from: -8.34224	-7.65592
0.178	149.648
#starting from: -8.38538	-8.45397
0.178	149.648
#starting from: -7.37396	-7.4876
0.178	149.648
#starting from: -8.35289	-7.25065
0.178	149.648
#starting from: -8.33487	-8.79175
0.178	149.648
#starting from: -8.2678	-8.98877
0.178	149.648
#starting from: -7.7483	-7.20267
0.178	149.648
#starting from: -8.92936	-7.36514
0.178	149.648
#starting from: -8.8257	-8.96677
0.178	149.648
#starting from: -7.28202	-8.82442
0.178	149.648
#starting from: -7.83909	-8.20076
0.178	149.648
#starting from: -8.46827	-8.83069
0.178	149.648
#starting from: -7.55686	-7.97682
