#G	time_to_stabilize
#G_graz: 0.0578561
#starting from: -7.95621	-8.9801
0.23915	105.794
#starting from: -8.37691	-7.61989
0.23915	105.794
#starting from: -7.0499	-7.95975
0.23915	105.794
#starting from: -8.00502	-8.87177
0.23915	105.794
#starting from: -7.70497	-7.39121
0.23915	105.794
#starting from: -7.98826	-8.84181
0.23915	105.794
#starting from: -8.19115	-7.156
0.23915	105.794
#starting from: -8.59728	-7.01385
0.23915	105.794
#starting from: -7.49667	-8.4409
0.23915	105.794
#starting from: -8.51832	-8.61097
0.23915	105.794
#starting from: -7.67757	-8.20913
0.23915	105.794
#starting from: -7.69148	-7.37845
0.23915	105.794
#starting from: -8.01155	-8.93355
0.23915	105.794
#starting from: -7.46845	-7.03751
0.23915	105.794
#starting from: -7.2678	-7.17091
0.23915	105.794
#starting from: -8.3842	-7.0649
0.23915	105.794
#starting from: -8.45994	-8.01975
0.23915	105.794
#starting from: -7.6352	-8.23973
0.23915	105.794
#starting from: -8.61347	-8.4715
0.23915	105.794
#starting from: -8.37521	-7.455
0.23915	105.794
#starting from: -7.67277	-8.42395
0.23915	105.794
#starting from: -8.29196	-7.09143
0.23915	105.794
#starting from: -8.63872	-8.24752
0.23915	105.794
#starting from: -8.18422	-8.01848
0.23915	105.794
#starting from: -7.38724	-7.91563
0.23915	105.794
#starting from: -7.22907	-7.0041
0.23915	105.794
#starting from: -7.82018	-7.85874
0.23915	105.794
#starting from: -8.84019	-7.92308
0.23915	105.794
#starting from: -7.07066	-7.43758
0.23915	105.794
#starting from: -7.16533	-7.4906
0.23915	105.794
#starting from: -8.46728	-8.97694
0.23915	105.794
#starting from: -7.56247	-8.7595
0.23915	105.794
#starting from: -8.31064	-7.24029
0.23915	105.794
#starting from: -7.43706	-8.97619
0.23915	105.794
#starting from: -7.83788	-8.11072
0.23915	105.794
#starting from: -7.24254	-7.5745
0.23915	105.794
#starting from: -7.17575	-8.728
0.23915	105.794
#starting from: -7.37459	-8.11462
0.23915	105.794
#starting from: -7.42373	-8.77122
0.23915	105.794
#starting from: -8.94987	-7.66394
0.23915	105.794
#starting from: -7.26135	-8.76255
0.23915	105.794
#starting from: -7.87578	-8.81161
0.23915	105.794
#starting from: -8.09948	-7.05061
0.23915	105.794
#starting from: -7.91326	-7.41357
0.23915	105.794
#starting from: -8.02461	-7.69527
0.23915	105.794
#starting from: -7.5086	-7.09668
0.23915	105.794
#starting from: -7.62812	-7.45967
0.23915	105.794
#starting from: -7.4191	-7.6689
0.23915	105.794
#starting from: -7.26873	-8.85541
0.23915	105.794
#starting from: -7.86287	-8.41176
0.23915	105.794
#starting from: -8.66844	-7.07629
0.23915	105.794
#starting from: -8.61727	-7.50079
0.23915	105.794
#starting from: -7.63991	-8.65219
0.23915	105.794
#starting from: -8.65867	-8.77981
0.23915	105.794
#starting from: -8.55067	-7.74852
0.23915	105.794
#starting from: -8.87461	-8.11026
0.23915	105.794
#starting from: -7.78748	-7.1118
0.23915	105.794
#starting from: -8.89355	-7.13236
0.23915	105.794
#starting from: -8.46636	-7.65655
0.23915	105.794
#starting from: -8.05709	-8.6506
0.23915	105.794
#starting from: -8.8854	-7.4501
0.23915	105.794
#starting from: -7.98285	-8.02404
0.23915	105.794
#starting from: -8.63675	-7.60346
0.23915	105.794
#starting from: -8.45228	-7.60974
0.23915	105.794
#starting from: -7.25811	-8.33804
0.23915	105.794
#starting from: -7.01209	-7.42499
0.23915	105.794
#starting from: -7.42056	-8.00776
0.23915	105.794
#starting from: -7.77075	-7.21861
0.23915	105.794
#starting from: -7.62122	-8.5412
0.23915	105.794
#starting from: -8.12411	-8.08336
0.23915	105.794
#starting from: -7.03796	-8.44218
0.23915	124.644
#starting from: -8.98391	-8.80078
0.23915	105.794
#starting from: -7.74912	-7.11549
0.23915	105.794
#starting from: -7.71239	-7.7164
0.23915	105.794
#starting from: -7.68427	-8.47907
0.23915	105.794
#starting from: -7.70643	-8.12387
0.23915	105.794
#starting from: -8.33516	-8.11428
0.23915	105.794
#starting from: -7.0832	-8.83895
0.23915	105.794
#starting from: -7.09123	-7.84086
0.23915	105.794
#starting from: -8.87739	-8.1766
0.23915	105.794
#starting from: -7.85063	-8.47018
0.23915	105.794
#starting from: -7.27589	-7.59322
0.23915	105.794
#starting from: -7.51884	-8.52737
0.23915	105.794
#starting from: -7.33166	-7.13789
0.23915	105.794
#starting from: -7.47607	-8.81026
0.23915	105.794
#starting from: -7.31196	-7.35828
0.23915	105.794
#starting from: -8.4545	-7.41488
0.23915	105.794
#starting from: -7.33947	-8.80643
0.23915	105.794
#starting from: -7.17333	-8.0922
0.23915	105.794
#starting from: -8.41909	-7.30241
0.23915	105.794
#starting from: -7.82134	-8.88982
0.23915	105.794
#starting from: -7.42729	-8.50044
0.23915	105.794
#starting from: -7.8148	-7.5742
0.23915	105.794
#starting from: -7.12841	-8.72183
0.23915	105.794
#starting from: -8.04597	-7.78808
0.23915	105.794
#starting from: -8.25537	-7.59395
0.23915	105.794
#starting from: -7.89527	-8.50002
0.23915	105.794
#starting from: -8.16779	-8.7362
0.23915	105.794
#starting from: -7.5779	-7.99901
0.23915	105.794
#starting from: -8.55418	-8.09595
0.23915	105.794
#starting from: -7.95522	-7.09535
0.23915	105.794
#starting from: -8.568	-8.06171
0.23915	105.794
#starting from: -7.162	-7.61328
0.23915	105.794
#starting from: -8.61333	-7.0406
0.23915	105.794
#starting from: -7.95933	-7.39097
0.23915	105.794
#starting from: -7.19295	-8.27675
0.23915	105.794
#starting from: -7.15794	-7.7693
0.23915	105.794
#starting from: -7.93717	-7.28488
0.23915	105.794
#starting from: -7.13072	-8.11658
0.23915	105.794
#starting from: -8.87877	-8.75855
0.23915	105.794
#starting from: -8.07137	-8.90514
0.23915	105.794
#starting from: -7.07328	-8.16293
0.23915	105.794
#starting from: -7.6654	-7.53968
0.23915	105.794
#starting from: -7.38076	-8.43254
0.23915	105.794
#starting from: -7.74051	-8.77323
0.23915	105.794
#starting from: -7.29728	-8.34796
0.23915	105.794
#starting from: -8.80107	-7.98272
0.23915	105.794
#starting from: -7.10544	-8.37881
0.23915	105.794
#starting from: -7.77275	-7.27782
0.23915	105.794
#starting from: -8.29842	-7.30148
0.23915	105.794
#starting from: -8.75119	-7.76242
0.23915	105.794
#starting from: -7.51275	-8.94957
0.23915	105.794
#starting from: -8.11159	-8.35542
0.23915	105.794
#starting from: -7.88188	-8.87522
0.23915	105.794
#starting from: -7.5155	-8.24116
0.23915	105.794
#starting from: -8.419	-8.37666
0.23915	105.794
#starting from: -7.8948	-7.98628
0.23915	105.794
#starting from: -7.55352	-8.55147
0.23915	105.794
#starting from: -7.73335	-7.43872
0.23915	105.794
#starting from: -7.80351	-7.06465
0.23915	105.794
#starting from: -7.86922	-7.5125
0.23915	105.794
#starting from: -7.16959	-8.08053
0.23915	105.794
#starting from: -8.96606	-7.82228
0.23915	105.794
#starting from: -8.63337	-7.09122
0.23915	105.794
#starting from: -8.99381	-7.87874
0.23915	105.794
#starting from: -7.47089	-7.76889
0.23915	105.794
#starting from: -8.42315	-7.97092
0.23915	105.794
#starting from: -7.65413	-7.17288
0.23915	105.794
#starting from: -7.43356	-8.95291
0.23915	105.794
#starting from: -7.77705	-8.79834
0.23915	105.794
#starting from: -7.29667	-7.68187
0.23915	105.794
#starting from: -7.53594	-8.34038
0.23915	105.794
#starting from: -8.68833	-7.71459
0.23915	105.794
#starting from: -7.75166	-7.1941
0.23915	105.794
#starting from: -7.02374	-7.87586
0.23915	105.794
#starting from: -7.89554	-7.36526
0.23915	105.794
#starting from: -7.65595	-7.67135
0.23915	105.794
#starting from: -8.56326	-8.88358
0.23915	105.794
#starting from: -8.34017	-7.90512
0.23915	105.794
#starting from: -8.36082	-8.59374
0.23915	105.794
#starting from: -7.12842	-8.36749
0.23915	105.794
#starting from: -7.07898	-7.42502
0.23915	105.794
#starting from: -8.81535	-7.08108
0.23915	105.794
#starting from: -8.08632	-8.66474
0.23915	105.794
#starting from: -7.26912	-8.64599
0.23915	105.794
#starting from: -7.19798	-7.22807
0.23915	105.794
#starting from: -7.05942	-8.63808
0.23915	105.794
#starting from: -7.75726	-7.996
0.23915	105.794
#starting from: -8.82338	-8.4603
0.23915	105.794
#starting from: -8.16943	-7.50599
0.23915	105.794
#starting from: -7.06409	-7.44885
0.23915	105.794
#starting from: -7.74008	-7.72452
0.23915	105.794
#starting from: -8.13011	-8.31704
0.23915	105.794
#starting from: -7.34205	-8.61384
0.23915	105.794
#starting from: -8.49997	-8.58289
0.23915	105.794
#starting from: -8.80426	-8.00603
0.23915	105.794
#starting from: -7.53459	-7.5702
0.23915	105.794
#starting from: -7.17997	-7.28878
0.23915	105.794
#starting from: -7.61635	-8.02895
0.23915	105.794
#starting from: -8.59886	-8.68528
0.23915	105.794
#starting from: -8.12965	-7.4166
0.23915	105.794
#starting from: -7.45126	-7.0028
0.23915	105.794
#starting from: -7.53076	-7.48181
0.23915	105.794
#starting from: -8.93682	-8.40736
0.23915	105.794
#starting from: -7.71744	-8.1889
0.23915	105.794
#starting from: -7.20126	-8.27828
0.23915	105.794
#starting from: -8.17123	-8.7846
0.23915	105.794
#starting from: -7.50157	-8.75795
0.23915	105.794
#starting from: -7.24467	-8.6109
0.23915	105.794
#starting from: -7.77163	-7.32381
0.23915	105.794
#starting from: -7.5465	-8.57936
0.23915	105.794
#starting from: -7.37303	-8.14416
0.23915	105.794
#starting from: -8.45913	-8.76089
0.23915	105.794
#starting from: -7.43103	-8.80085
0.23915	105.794
#starting from: -8.81928	-7.38646
0.23915	105.794
#starting from: -8.96095	-7.46478
0.23915	105.794
#starting from: -8.82672	-7.39948
0.23915	105.794
#starting from: -7.13801	-8.85775
0.23915	105.794
#starting from: -8.62073	-7.46637
0.23915	105.794
#starting from: -7.71162	-8.8234
0.23915	105.794
#starting from: -8.18109	-7.17845
0.23915	105.794
#starting from: -8.1197	-7.29302
0.23915	105.794
#starting from: -8.85421	-7.10448
0.23915	105.794
#starting from: -8.65367	-7.06469
0.23915	105.794
#starting from: -8.4649	-7.42275
0.23915	105.794
#starting from: -8.84353	-8.90916
0.23915	105.794
#starting from: -7.00119	-7.71834
0.23915	105.794
#starting from: -8.09249	-8.15167
0.23915	105.794
#starting from: -7.76956	-8.48626
0.23915	105.794
#starting from: -7.53579	-7.26906
0.23915	105.794
#starting from: -8.55341	-8.43864
0.23915	105.794
#starting from: -8.53778	-8.67579
0.23915	105.794
#starting from: -7.90894	-7.20141
0.23915	105.794
#starting from: -7.73761	-8.71941
0.23915	105.794
#starting from: -8.75063	-8.79864
0.23915	105.794
#starting from: -7.86783	-8.32305
0.23915	105.794
#starting from: -8.36211	-8.64449
0.23915	105.794
#starting from: -7.28404	-7.94013
0.23915	105.794
#starting from: -7.6088	-7.66703
0.23915	105.794
#starting from: -8.31521	-7.46435
0.23915	105.794
#starting from: -8.363	-7.39332
0.23915	105.794
#starting from: -7.0851	-7.09188
0.23915	105.794
#starting from: -8.3753	-7.42683
0.23915	105.794
#starting from: -8.8245	-7.59088
0.23915	105.794
#starting from: -7.70112	-8.19607
0.23915	105.794
#starting from: -7.73371	-7.78582
0.23915	105.794
#starting from: -7.85702	-7.59377
0.23915	105.794
#starting from: -8.63465	-8.47283
0.23915	105.794
#starting from: -7.94729	-7.99514
0.23915	105.794
#starting from: -7.29563	-7.46296
0.23915	105.794
#starting from: -8.8215	-8.73505
0.23915	105.794
#starting from: -7.62963	-8.77086
0.23915	105.794
#starting from: -7.15099	-7.40208
0.23915	105.794
#starting from: -7.39993	-7.12852
0.23915	105.794
#starting from: -7.85137	-7.71582
0.23915	105.794
#starting from: -7.83349	-8.15889
0.23915	105.794
#starting from: -7.87389	-8.96638
0.23915	105.794
#starting from: -7.57856	-8.22079
0.23915	105.794
#starting from: -7.09619	-8.49433
0.23915	105.794
#starting from: -7.39406	-8.30631
0.23915	105.794
#starting from: -8.76335	-8.6716
0.23915	105.794
#starting from: -7.05182	-7.3251
0.23915	105.794
#starting from: -7.39927	-8.55373
0.23915	105.794
